Date,10,11,13,14,16,18,19,1,20,21,23,25,26,27,28,29,2,32,35,37,39,3,41,42,43,45,46,47,49,4,6,7,8,9
2015-06-30,25.0875416667,23.8694444444,25.5270416667,23.451,24.1220833333,25.0340833333,24.5945833333,25.0185833333,25.0533333333,25.350375,25.41375,22.3676,22.0871,25.9188333333,25.7684583333,22.2246666667,23.605,25.52325,25.033375,23.9527083333,25.7424166667,24.508,24.6497777778,23.8771111111,25.1834166667,26.1796666667,25.701375,27.5376666667,25.5418333333,25.1207083333,24.6702,23.61675,25.5147916667,26.6882083333
2015-07-01,24.3135833333,26.5337083333,25.10475,27.2249583333,24.0067083333,24.466125,24.0340416667,24.7656666667,27.7090833333,24.9955833333,24.9679166667,21.9668333333,21.7905416667,25.9679166667,25.3201666667,21.8735416667,26.5877916667,27.657125,25.0014583333,23.7309166667,25.018125,27.1875416667,27.253125,26.982625,24.6387916667,28.5695,25.201125,29.5547083333,24.9659583333,24.8782916667,27.481,26.5222916667,25.1422083333,25.893625
2015-07-02,25.6675,26.8963333333,26.2244166667,27.1837083333,24.8353333333,25.7188333333,25.5446666667,26.2759166667,27.2444166667,26.1335833333,26.0825416667,22.44875,22.3090416667,26.9104166667,26.51025,22.3765,26.5856666667,27.34,25.991125,24.7780416667,26.2055,27.1253333333,26.76075,26.5560833333,25.7404583333,28.331125,26.094,29.4720833333,26.1926666667,26.292375,27.0343333333,26.5510833333,26.4985,26.8751666667
2015-07-03,24.9210416667,28.245125,25.6860833333,28.2277916667,24.6069583333,25.14375,24.9125416667,25.3729583333,28.9234583333,25.4628333333,25.4869583333,22.2012916667,22.2281666667,26.557,25.8233333333,22.22525,28.358625,28.7277083333,25.4114166667,24.3592083333,25.4457083333,28.0626666667,28.4785416667,27.8894166667,25.0636666667,29.2135,25.615875,30.8615,25.711625,25.3448333333,28.20825,27.4315,25.7938333333,26.222375
2015-07-04,22.9827916667,25.7715416667,23.2192083333,26.2489166667,22.2583333333,22.8382083333,22.6145,23.3854583333,26.58025,23.6122083333,23.056,23.6254166667,23.6867083333,23.7494583333,24.3744166667,23.2125833333,26.0802916667,26.5873333333,23.2017083333,22.0714583333,23.9556666667,26.0941666667,26.1670833333,25.6108333333,23.0891666667,27.383125,23.0159583333,29.542125,23.1528333333,23.30775,26.3155416667,25.6580833333,23.5222916667,24.38875
2015-07-05,24.186125,22.1179166667,24.323375,22.004,23.1729583333,23.9920833333,23.9197916667,24.536625,22.3311666667,24.4200833333,24.3610833333,24.8504583333,24.8702916667,25.2544583333,25.3094166667,24.8827916667,21.8746666667,23.144875,24.3376666667,23.087625,24.7706666667,21.7534166667,21.9992083333,21.56875,24.2014166667,23.2907083333,24.4768333333,26.083125,24.4189583333,24.4642083333,22.5894166667,21.6835416667,24.618875,25.4692916667
2015-07-06,25.6025833333,24.6380416667,25.872875,24.592125,24.8459583333,25.8305833333,25.0965416667,26.0780416667,26.1466666667,26.1412916667,26.1007916667,30.1924166667,30.0550416667,27.1940833333,27.0772916667,30.3956666667,24.4440833333,25.5762916667,26.0147916667,24.4707083333,26.43975,24.263375,25.2953333333,24.6258333333,25.6545416667,26.3670416667,26.3570416667,27.84725,26.2028333333,26.1256666667,25.2057083333,23.7459583333,26.2354166667,27.32525
2015-07-07,27.791125,27.8280833333,28.6266666667,28.1830833333,27.3377916667,28.572,27.9916666667,28.6891666667,28.7217916667,28.4499166667,28.675625,29.7099166667,29.431625,29.856625,29.4329166667,28.99725,27.7956666667,28.5003333333,27.9668333333,27.18925,28.8550416667,27.8355833333,28.2804166667,28.050375,28.1850833333,30.133,28.8268333333,30.5384166667,29.0095,28.9892083333,28.3610833333,27.12125,29.2045,29.67
2015-07-08,28.78825,28.1118333333,29.5192916667,29.0890833333,28.3790833333,29.4285416667,28.7333333333,29.7849583333,28.9404583333,29.342625,29.7947916667,31.3105833333,30.039875,31.4278333333,31.0099166667,29.025625,27.9049583333,29.2578333333,29.2269583333,28.03525,29.8730833333,28.4604583333,28.512,28.7973333333,29.3201666667,31.3216666667,30.4758333333,31.4099166667,30.2272083333,29.7495,28.9101666667,28.0040416667,30.16425,31.049
2015-07-09,29.0063333333,28.1144583333,29.8809166667,29.159125,28.4806666667,30.0893333333,29.0612083333,30.414375,28.9894583333,29.5892916667,30.2110833333,32.441,30.081625,31.2746666667,31.834,29.1942916667,27.6575,29.7752916667,28.9739166667,28.316375,30.164125,28.533375,29.056875,28.8957916667,29.4112083333,30.7060833333,30.7413333333,32.5306666667,30.7085833333,30.0877083333,29.3781666667,28.1859583333,30.692,30.6694166667
2015-07-10,27.0967083333,28.0622916667,27.8096666667,29.166875,26.5252916667,28.0305,26.7575833333,28.0069583333,29.220625,27.150875,27.34525,31.67225,29.9490416667,29.1459166667,29.518625,29.3322916667,27.925375,29.6112916667,28.170125,26.129125,28.7019166667,28.4215,28.997625,28.6617083333,27.75825,31.01775,27.9602916667,31.8679583333,28.3895833333,27.3439583333,29.58625,28.0480416667,28.0572083333,28.598375
2015-07-11,28.01925,28.8979166667,28.6830833333,30.1455,27.79825,28.7664166667,28.1340833333,29.812875,29.7730833333,28.1984583333,28.7682083333,31.924125,30.4310833333,29.754375,31.008,29.8587916667,28.3504166667,30.7569166667,28.7994583333,26.9618333333,29.0549166667,29.4159583333,29.0327916667,29.5262083333,28.0360416667,31.4608333333,28.73375,32.008125,29.83625,29.4365,30.27125,29.2245833333,30.2982916667,30.5722916667
